erId,size,house,priced,hammerGBP,title,new,action,reason
roseberys-a0529-lot231-er,1,Roseberys London,False,,Christopher Wool Collector's Edition,1100,fix,stored 1 is the leading group of a separated number; parser now reads 1100
roseberys-a0550-lot602-er,1,Roseberys London,True,750.0,Christopher Wool Collector's Edition,1100,fix,stored 1 is the leading group of a separated number; parser now reads 1100
bonhams-31947-77-er,1,Skinner,False,,"Revolver, from Artists & Photographs",1200,fix,stored 1 is the leading group of a separated number; parser now reads 1200
bonhams-32238-157-er,1,Bonhams,True,120.0,Port Arthur Texas Public Library Print,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-32238-115-er,1,Bonhams,False,,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-31930-100-er,1,Skinner,False,,"Revolver, from Artists & Photographs",1200,fix,stored 1 is the leading group of a separated number; parser now reads 1200
bonhams-32235-103-er,1,Bonhams,True,150.0,Everybody Needs A Place to Think,1500,fix,stored 1 is the leading group of a separated number; parser now reads 1500
bonhams-32235-50-er,2,Bonhams,True,700.0,,2000,fix,stored 2 is the leading group of a separated number; parser now reads 2000
bonhams-31922-113-er,2,Skinner,True,633.34,"Madame de Pompadour, from Portraits, by André Sauret",2850,fix,stored 2 is the leading group of a separated number; parser now reads 2850
bonhams-32233-169-er,1,Bonhams,False,,Port Arthur Texas Public Library Print,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-32233-160-er,1,Bonhams,True,3000.0,,1200,fix,stored 1 is the leading group of a separated number; parser now reads 1200
bonhams-32233-122-er,6,Bonhams,True,950.0,,6000,fix,stored 6 is the leading group of a separated number; parser now reads 6000
bonhams-31709-156-er,1,Bonhams,True,591.58,L'Ecuyère,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-31709-131-er,5,Bonhams,True,1257.12,Romeo and Juliette,5000,fix,stored 5 is the leading group of a separated number; parser now reads 5000
bonhams-31709-132-er,3,Bonhams,True,443.69,,3000,fix,stored 3 is the leading group of a separated number; parser now reads 3000
bonhams-32219-124-er,1,Bonhams,True,240.0,Everybody Needs A Place to Think,1500,fix,stored 1 is the leading group of a separated number; parser now reads 1500
bonhams-30830-193-er,1,Bonhams,True,494.52,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-31103-203-er,6,Bonhams,True,800.0,,6000,fix,stored 6 is the leading group of a separated number; parser now reads 6000
bonhams-27495-295-er,1,Bonhams,True,400.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-27495-125-er,1,Bonhams,True,1100.0,Galerie Watari Tokyo,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-30830-119-er,1,Bonhams,True,1293.37,"Revolver, from Artists & Photographs",1200,fix,stored 1 is the leading group of a separated number; parser now reads 1200
bonhams-28740-226-er,1,Bonhams,True,150.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-28740-159-er,1,Bonhams,True,950.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-28740-152-er,1,Bonhams,True,3000.0,,1700,fix,stored 1 is the leading group of a separated number; parser now reads 1700
bonhams-28849-73-er,1,Bonhams,False,,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-28849-59-er,1,Bonhams,True,850.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-29499-315-er,6,Bonhams,False,,S&H Green Stamps,6000,fix,stored 6 is the leading group of a separated number; parser now reads 6000
bonhams-29499-246-er,1,Bonhams,True,295.83,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-29499-247-er,1,Bonhams,False,,Real One,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-29499-222-er,2,Bonhams,False,,,2000,fix,stored 2 is the leading group of a separated number; parser now reads 2000
bonhams-29499-206-er,2,Bonhams,False,,,2000,fix,stored 2 is the leading group of a separated number; parser now reads 2000
bonhams-29499-118-er,2,Bonhams,True,233.55,,2500,fix,stored 2 is the leading group of a separated number; parser now reads 2500
bonhams-29499-6-er,2,Bonhams,True,1868.43,,2000,fix,stored 2 is the leading group of a separated number; parser now reads 2000
bonhams-29499-3-er,1,Bonhams,True,467.11,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-29911-212-er,1,Bonhams,False,,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-29911-69-er,15,Bonhams,True,1000.0,Côte D'Azur,15000,fix,stored 15 is the leading group of a separated number; parser now reads 15000
bonhams-29911-59-er,1,Bonhams,False,,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-30353-250-er,1,Bonhams,True,700.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-30353-116-er,15,Bonhams,True,750.0,Côte D'Azur,15000,fix,stored 15 is the leading group of a separated number; parser now reads 15000
bonhams-30353-111-er,1,Bonhams,False,,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-27598-38-er,10,Bonhams,True,1110.8,,10000,fix,stored 10 is the leading group of a separated number; parser now reads 10000
bonhams-28302-126-er,1,Bonhams,True,600.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26786-230-er,1,Bonhams,True,1100.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26786-133-er,1,Bonhams,True,1300.0,Galerie Watari Tokyo,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26786-80-er,1,Bonhams,True,1000.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-29174-212-er,5,Bonhams,True,863.9,,5000,fix,stored 5 is the leading group of a separated number; parser now reads 5000
bonhams-29174-213-er,5,Bonhams,False,,Romeo and Juliette,5000,fix,stored 5 is the leading group of a separated number; parser now reads 5000
bonhams-26026-248-er,1,Bonhams,True,850.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26026-191-er,1,Bonhams,False,,Galerie Watari Tokyo,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-28738-283-er,1,Bonhams,True,400.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-28738-190-er,1,Bonhams,True,700.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26785-331-er,1,Bonhams,True,600.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26785-332-er,1,Bonhams,True,600.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26785-163-er,1,Bonhams,True,650.0,Galerie Watari Tokyo,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
bonhams-26785-96-er,1,Bonhams,True,900.0,,1000,fix,stored 1 is the leading group of a separated number; parser now reads 1000
